author,total_comments,n_channels,avg_comments_per_channel,category_entropy,num_unique_categories,cat_Gaming,cat_Entertainment,cat_Music,cat_People & Blogs,cat_Howto & Style,cat_Comedy,cat_Film and Animation,cat_Education,cat_Science & Technology,cat_Sports,mean_log_subs,std_log_subs,mean_join_year,std_join_year,mean_delta_videos,mean_activity,mean_delta_subs,mean_delta_views
10001373,1.0,1.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.02378508137718,0.0,2012.0,0.0,1.3717948717948718,3.0384615384615383,37367.0032051282,6816392.090397016
10001374,2.0,1.0,2.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.190101252126542,0.0,2016.0,0.0,1.929032258064516,4.84516129032258,7272.095161290323,1974510.0645449308
10001375,5.0,3.0,1.6666666666666667,0.9502705392332347,3.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,11.845127014765957,0.8898324215508592,2011.0,1.6903085094570334,0.7345755517826824,1.5742784380305601,562.3874680653247,137947.7198682805
10001376,5.0,3.0,1.6666666666666667,0.5004024235381879,2.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,14.666652369125494,3.398830303360387,2006.4,0.6546536707079772,7.9786847264302265,18.198588486900732,29289.029386154747,7007829.204226989
10001379,1.0,1.0,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.531108846082864,0.0,2008.0,0.0,112.32903225806452,241.81935483870967,33344.375806451615,22884093.826612905
10001380,2.0,1.0,2.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.382828169079987,0.0,2011.0,0.0,0.024242424242424242,0.048484848484848485,51.59326246760805,20626.695995670987
10001381,1.0,1.0,1.0,-0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.087774003025942,0.0,2010.0,0.0,0.4166666666666667,0.8333333333333334,1299.5865384615386,1718902.9102802582
10001383,1.0,1.0,1.0,-0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.452087916136215,0.0,2010.0,0.0,9.076923076923077,20.615384615384617,1201.8333482465584,918212.1000457872
10001384,3.0,3.0,1.0,0.6365141682948128,2.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,12.672330775901656,0.9294532667125216,2012.3333333333333,3.785938897200182,6.188975763534497,13.772142890584764,2533.652015083972,623885.9596162481
10001385,12.0,5.0,2.4,0.45056120886630463,2.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,13.382950318647444,1.789140503748075,2014.4999999999998,2.670594591415573,11.696713091401952,26.40946385798677,7591.810816355115,1747779.3238220168
10001387,1.0,1.0,1.0,-0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.07397183166515,0.0,2012.0,0.0,15.38993710691824,33.9685534591195,22281.42902066487,8827601.741015274
10001388,2.0,1.0,2.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.299385474180372,0.0,2007.0,0.0,2.425806451612903,5.367741935483871,17375.83558467742,3119341.626065668
10001389,13.0,6.0,2.1666666666666665,0.9371558530657009,4.0,0.0,0.15384615384615385,0.0,0.07692307692307693,0.07692307692307693,0.6923076923076923,0.0,0.0,0.0,0.0,15.982537673413532,1.2533287607739256,2008.538461538462,4.744280421867101,1.3969181552084058,3.0545805742706458,60296.01534582968,12679447.147300623
10001391,1.0,1.0,1.0,-0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.53249633228804,0.0,2012.0,0.0,0.32666666666666666,0.7133333333333334,75.65637301587302,18664.985031746033
10001394,1.0,1.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.646490900602007,0.0,2015.0,0.0,77.91666666666667,172.57692307692307,39187.075892857145,4729695.746628678
10001395,1.0,1.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.100119813444692,0.0,2006.0,0.0,2.50625,5.43125,3034.5886160714285,450607.55982142856
10001396,1.0,1.0,1.0,-0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.899898491803986,0.0,2009.0,0.0,1.5419354838709678,3.270967741935484,7126.606105990783,3671226.391431452
10001397,15.0,7.0,2.142857142857143,0.6277052571971504,3.0,0.8,0.0,0.06666666666666667,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,13.839435727960502,1.4949108310229258,2008.2666666666667,1.3526962830001985,0.9991273779983457,2.2394344007247233,4825.921591677585,4811126.780737858
10001400,1.0,1.0,1.0,-0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.199302039492581,0.0,2011.0,0.0,0.2645161290322581,0.535483870967742,20113.10253456221,4590341.414741743
