author,total_comments
10086740,222
10118598,222
10113007,222
10021009,222
10117020,222
10004488,222
10016728,222
10140678,222
10020112,222
10071943,222
10048104,222
10090930,222
10099956,222
10061096,221
10133114,221
10092812,221
10107212,221
10073575,221
10040669,221
10114965,221
1002095,220
10073966,220
10140649,220
10110376,220
10052725,220
10087700,220
10128286,220
10036122,220
1007333,220
10103120,220
10123278,219
10052343,219
10068963,219
10133584,219
10109265,219
10031421,219
10059334,219
10142402,218
10067880,218
10123043,218
10108660,218
10145801,218
10032492,218
10076149,218
1009449,218
10085335,218
10141681,218
10124193,218
10131100,217
1001271,217
10015194,217
10141017,217
10018679,217
10084634,217
10136945,217
10066461,217
10003792,217
10064940,217
10060612,217
10065020,217
10137831,217
10033916,217
10141794,217
10019131,217
10128482,216
10068691,216
10018643,216
10026335,216
10053963,216
10135775,216
10079492,216
10134476,216
10126952,215
10140052,215
10008840,215
10041043,215
10050486,215
10065028,215
10142063,215
10065034,215
10060288,215
10032290,215
10120968,215
10095204,215
1012815,215
10068488,215
10037167,214
10113314,214
10123365,214
1006947,214
10054552,214
1002900,213
10120197,213
10091864,213
10119083,213
10006995,213
10093916,213
10136350,213
10123325,213
1010122,213
10077376,213
10081187,213
10080024,213
1011413,212
10007504,212
10036755,212
10064139,212
1012354,212
10114091,212
10098435,212
10058573,212
10007346,212
10143655,212
10053564,212
10021193,211
1006434,211
10024213,211
10130189,211
10082138,211
10000301,211
10025559,211
10070992,211
10030225,211
10036489,211
10068960,211
10050672,211
10117715,210
10042667,210
10083484,210
10032568,210
10137734,210
10140740,210
10124057,210
10051302,210
10087121,210
10030965,210
10009721,210
10071071,209
10131305,209
1002027,209
10146674,209
10142720,209
10111896,209
10010983,209
10057344,209
10113919,209
10093810,209
10128426,209
10087483,208
10143328,208
10142930,208
10146289,208
10131353,208
10056871,208
10148313,208
10009021,208
10102328,208
10115514,208
10107650,208
10128594,208
10060931,207
10086787,207
10115951,207
10036063,207
10126650,207
10148078,207
10073260,207
10092579,207
10078881,206
10028659,206
10121115,206
1013946,206
10014640,206
10034612,206
10084405,206
1014826,206
10085418,206
10013923,206
10143942,206
10058058,206
10092686,206
10084333,206
10130808,206
10145845,205
10005103,205
10077874,205
10028121,205
10106569,205
10141732,205
10038261,205
10090920,204
10006374,204
10013200,204
10032103,204
10083235,204
10128097,204
10113189,204
10015591,204
10080175,204
10134645,203
10025518,203
10068350,203
10087240,203
10052286,203
10111159,203
10129462,202
10066448,202
10135396,202
10004689,202
10039953,202
10054080,202
10121386,202
101071,202
10013034,202
10039734,202
10128223,202
10078324,201
10102594,201
10015242,201
10046063,201
10020129,201
10075977,201
10063716,201
10018152,201
10130039,201
10004141,201
10103354,201
10028965,201
10141543,201
10028071,200
10114882,200
10011006,200
10090045,200
10042410,200
10137376,200
10070911,200
10103647,200
1003053,200
10011871,200
10020426,200
10090943,200
10077453,200
10036067,200
10091846,200
10041370,200
10023761,200
10030388,199
10023938,199
10063291,199
10128293,199
10025093,199
10107865,199
10119737,199
1003881,199
10081958,199
10143415,199
10013848,198
10127000,198
10083174,198
10026721,198
10049259,198
1013699,198
10094228,198
10022265,198
10129908,198
10134552,198
10058556,198
10132477,198
10097058,198
10046141,198
10019817,198
10088730,198
10019192,197
10091389,197
10104600,197
10134927,197
10049144,197
10020415,197
10077737,197
10094947,196
1003176,196
10075667,196
10013532,196
10098497,196
1011354,196
10061905,196
10059370,196
10058396,196
10058407,196
10058415,196
10049232,196
10043639,196
10029680,196
1010697,196
10086633,196
10005959,195
10087566,195
10038635,195
10102313,195
10137402,195
10030783,195
10004592,195
1005894,195
10098288,195
10147203,195
10067362,195
10073049,195
1001555,195
1000930,195
10122424,195
10013548,195
10055142,195
10120274,195
10144537,195
10058305,194
1002946,194
10097286,194
10077834,194
10051758,194
10111481,194
10019956,194
1006238,194
10041179,194
10050040,193
10138016,193
10087512,193
10014299,193
10089741,193
10028603,193
10041612,193
1001681,193
1009244,193
10139681,193
10141379,193
10027759,193
10071038,193
10051751,193
10013194,193
10121158,193
10072439,193
101127,193
10094959,193
10027206,193
10057468,193
10126662,193
10146960,193
1002722,192
10036435,192
10052641,192
10066850,192
1013502,192
10010091,192
10036810,191
10114636,191
10082200,191
10060739,191
10141445,191
10008510,191
10134786,191
10102493,191
10047669,191
10084052,191
10002413,191
10022810,191
1011990,191
10082353,191
10098260,191
10056642,191
10075645,191
10137068,190
10002706,190
10088000,190
10023534,190
10118567,190
1001642,190
10074838,190
10077157,190
10123012,190
1003099,190
10092229,190
10009204,190
10038538,189
10070887,189
1006416,189
10039978,189
10067385,189
10032713,189
10037318,189
10055456,189
10093915,189
10010589,189
10084909,189
10108966,189
10089260,188
10130998,188
10080670,188
10007104,188
10147161,188
10001834,188
10065484,188
10053785,188
1004819,188
10134863,188
10078604,188
10140629,188
10066841,187
10104430,187
10050570,187
10022362,187
10093572,187
10048026,187
1014385,187
1013103,187
1009324,187
10039827,187
10071286,187
1000970,187
10092050,187
10147245,186
10115694,186
10028000,186
10014314,186
10104960,186
10058515,186
1003203,186
10114661,186
10035332,186
10018147,186
10114607,186
10119656,186
10111350,186
10029332,186
10056921,185
10143272,185
10116320,185
10035635,185
10038384,185
10026987,185
100769,185
10068684,185
10046099,185
10100372,185
100253,184
10142841,184
10148202,184
1009475,184
10126338,184
10066376,184
1009433,184
10038333,184
10026257,184
10127808,184
10141673,184
10107296,184
10043582,184
10002150,184
10097123,184
10071911,184
10128637,184
10072935,184
10045378,184
10009168,183
1013749,183
10002312,183
10081551,183
1001753,183
10034013,183
10060016,183
1012171,183
10051792,183
10083712,183
10072256,183
10124920,183
10103313,183
10098373,183
10122987,182
1002707,182
10135952,182
10049177,182
1013340,182
10059798,182
10012409,182
10115739,182
10137001,182
10079511,182
10116982,181
10119863,181
10137444,181
10089539,181
10097464,181
10037054,181
10056489,181
10078987,181
10103073,181
10113051,180
10000076,180
10065220,180
